Module,Group,Quota,No_of_Bidders,Lowest_Bid,Lowest_Succ_Bid,Highest_Bid,Faculty,Student_Type,Bid_Round,Acad_Yr,Semester
ACC1002X,LECTURE B1,17,11,1,1,976,SCHOOL OF COMPUTING,Returning Students [P],1A,20092010,1
ACC1002X,LECTURE B2,25,13,1,1,201,SCIENCE,Returning Students [P],1A,20092010,1
ACC1002X,LECTURE B2,140,162,1,200,5555,ENGINEERING,Returning Students [P],1A,20092010,1
ACC1002X,LECTURE B2,27,9,5,1,534,SCHOOL OF COMPUTING,Returning Students [P],1A,20092010,1
ACC1002X,LECTURE B1,11,1,207,1,207,SCIENCE,Returning Students [P],1B,20092010,1
ACC1002X,LECTURE B1,6,5,1,1,101,SCHOOL OF COMPUTING,Returning Students [P],1B,20092010,1
ACC1002X,LECTURE B1,3,6,1,751,4000,SCHOOL OF BUSINESS,Returning Students [P],1B,20092010,1
ACC1002X,LECTURE B2,12,0,0,0,0,SCIENCE,Returning Students [P],1B,20092010,1
ACC1002X,LECTURE B2,18,3,1,1,1531,SCHOOL OF COMPUTING,Returning Students [P],1B,20092010,1
ACC1002X,LECTURE B2,3,5,523,690,907,SCHOOL OF BUSINESS,Returning Students [P],1B,20092010,1
ACC1002X,LECTURE B1,10,21,1,1908,4448,SCIENCE,Returning Students [P],1C,20092010,1
ACC1002X,LECTURE B1,1,5,37,2000,2000,SCHOOL OF COMPUTING,Returning Students [P],1C,20092010,1
ACC1002X,LECTURE B1,10,12,85,103,457,SCIENCE,New Students [P],1C,20092010,1
ACC1002X,LECTURE B1,20,36,15,746,747,ENGINEERING,New Students [P],1C,20092010,1
ACC1002X,LECTURE B1,35,11,1,1,260,SCHOOL OF COMPUTING,New Students [P],1C,20092010,1
ACC1002X,LECTURE B1,3,5,226,300,450,SCHOOL OF BUSINESS,New Students [P],1C,20092010,1
ACC1002X,LECTURE B1,8,14,100,203,747,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P],1C,20092010,1
ACC1002X,LECTURE B1,3,5,527,940,1500,SCHOOL OF BUSINESS,NUS Students [G],1C,20092010,1
ACC1002X,LECTURE B2,12,23,1,2111,3743,SCIENCE,Returning Students [P],1C,20092010,1
ACC1002X,LECTURE B2,15,11,1,1,500,SCHOOL OF COMPUTING,Returning Students [P],1C,20092010,1
ACC1002X,LECTURE B2,10,12,32,40,396,SCIENCE,New Students [P],1C,20092010,1
ACC1002X,LECTURE B2,20,44,31,745,1461,ENGINEERING,New Students [P],1C,20092010,1
ACC1002X,LECTURE B2,35,9,1,1,321,SCHOOL OF COMPUTING,New Students [P],1C,20092010,1
ACC1002X,LECTURE B2,3,6,110,200,226,SCHOOL OF BUSINESS,New Students [P],1C,20092010,1
ACC1002X,LECTURE B2,8,10,1,303,747,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P],1C,20092010,1
ACC1002X,LECTURE B2,3,8,1,1006,1499,SCHOOL OF BUSINESS,NUS Students [G],1C,20092010,1
ACC1002X,LECTURE B1,1,9,1,4470,4470,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2A,20092010,1
ACC1002X,LECTURE B1,24,4,2,1,200,SCHOOL OF COMPUTING,New Students [P],2A,20092010,1
ACC1002X,LECTURE B2,5,19,1,5413,6803,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2A,20092010,1
ACC1002X,LECTURE B2,26,2,1,1,1,SCHOOL OF COMPUTING,New Students [P],2A,20092010,1
ACC1002X,LECTURE B1,3,13,1,2950,5000,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2B,20092010,1
ACC1002X,LECTURE B1,1,2,105,346,346,SCIENCE,New Students [P],2B,20092010,1
ACC1002X,LECTURE B1,21,0,0,0,0,SCHOOL OF COMPUTING,New Students [P],2B,20092010,1
ACC1002X,LECTURE B1,1,2,400,747,747,SCHOOL OF BUSINESS,New Students [P],2B,20092010,1
ACC1002X,LECTURE B2,4,8,300,3507,5254,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2B,20092010,1
ACC1002X,LECTURE B2,27,1,30,1,30,SCHOOL OF COMPUTING,New Students [P],2B,20092010,1
ACC1002X,LECTURE B1,17,42,1,1281,2900,SCHOOL OF BUSINESS,NUS Students [PG],3A,20092010,1
ACC1002X,LECTURE B2,8,22,233,2185,5430,SCHOOL OF BUSINESS,NUS Students [PG],3A,20092010,1
ACC1002X,LECTURE B1,1,13,100,3853,3853,SCHOOL OF BUSINESS,NUS Students [PG],3B,20092010,1
ACC1002X,LECTURE B2,1,8,631,3000,3000,SCHOOL OF BUSINESS,NUS Students [PG],3B,20092010,1
ACC1002X,LECTURE B1,15,0,0,0,0,SCIENCE,Returning Students [P],1A,20092010,2
ACC1002X,LECTURE B1,110,97,1,1,6000,ENGINEERING,Returning Students [P],1A,20092010,2
ACC1002X,LECTURE B1,8,6,1,1,1008,SCHOOL OF COMPUTING,Returning Students [P],1A,20092010,2
ACC1002X,LECTURE B1,18,6,1,1,474,SCHOOL OF BUSINESS,Returning Students [P],1A,20092010,2
ACC1002X,LECTURE B1,10,0,0,0,0,SCIENCE,New Students [P],1A,20092010,2
ACC1002X,LECTURE B1,63,91,1,358,1568,ENGINEERING,New Students [P],1A,20092010,2
ACC1002X,LECTURE B1,8,14,303,450,552,SCHOOL OF COMPUTING,New Students [P],1A,20092010,2
ACC1002X,LECTURE B1,6,10,35,575,1091,SCHOOL OF BUSINESS,New Students [P],1A,20092010,2
ACC1002X,LECTURE B1,2,2,50,1,1500,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P],1A,20092010,2
ACC1002X,LECTURE B2,15,0,0,0,0,SCIENCE,Returning Students [P],1A,20092010,2
ACC1002X,LECTURE B2,113,85,1,1,4171,ENGINEERING,Returning Students [P],1A,20092010,2
ACC1002X,LECTURE B2,30,1,10,1,10,SCHOOL OF COMPUTING,Returning Students [P],1A,20092010,2
ACC1002X,LECTURE B2,30,2,1,1,102,SCHOOL OF BUSINESS,Returning Students [P],1A,20092010,2
ACC1002X,LECTURE B2,10,0,0,0,0,SCIENCE,New Students [P],1A,20092010,2
ACC1002X,LECTURE B2,60,86,50,421,1569,ENGINEERING,New Students [P],1A,20092010,2
ACC1002X,LECTURE B2,18,26,1,153,1000,SCHOOL OF COMPUTING,New Students [P],1A,20092010,2
ACC1002X,LECTURE B2,10,13,5,55,900,SCHOOL OF BUSINESS,New Students [P],1A,20092010,2
ACC1002X,LECTURE B2,2,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P],1A,20092010,2
ACC1002X,LECTURE B1,15,0,0,0,0,SCIENCE,Returning Students [P],1B,20092010,2
ACC1002X,LECTURE B1,13,7,1,1,501,ENGINEERING,Returning Students [P],1B,20092010,2
ACC1002X,LECTURE B1,2,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P],1B,20092010,2
ACC1002X,LECTURE B1,12,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P],1B,20092010,2
ACC1002X,LECTURE B1,10,0,0,0,0,SCIENCE,New Students [P],1B,20092010,2
ACC1002X,LECTURE B2,15,0,0,0,0,SCIENCE,Returning Students [P],1B,20092010,2
ACC1002X,LECTURE B2,28,11,1,1,2000,ENGINEERING,Returning Students [P],1B,20092010,2
ACC1002X,LECTURE B2,29,1,200,1,200,SCHOOL OF COMPUTING,Returning Students [P],1B,20092010,2
ACC1002X,LECTURE B2,28,1,200,1,200,SCHOOL OF BUSINESS,Returning Students [P],1B,20092010,2
ACC1002X,LECTURE B2,10,0,0,0,0,SCIENCE,New Students [P],1B,20092010,2
ACC1002X,LECTURE B2,2,1,300,1,300,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P],1B,20092010,2
ACC1002X,LECTURE B1,25,0,0,0,0,SCIENCE,Returning Students and New Students [P],2A,20092010,2
ACC1002X,LECTURE B1,7,15,1,2845,5900,ENGINEERING,Returning Students and New Students [P],2A,20092010,2
ACC1002X,LECTURE B1,2,3,286,292,458,SCHOOL OF COMPUTING,Returning Students and New Students [P],2A,20092010,2
ACC1002X,LECTURE B1,12,3,1,1,59,SCHOOL OF BUSINESS,Returning Students and New Students [P],2A,20092010,2
ACC1002X,LECTURE B1,3,8,2,838,1100,SCHOOL OF BUSINESS,NUS Students [G],2A,20092010,2
ACC1002X,LECTURE B2,25,0,0,0,0,SCIENCE,Returning Students and New Students [P],2A,20092010,2
ACC1002X,LECTURE B2,19,25,522,816,5222,ENGINEERING,Returning Students and New Students [P],2A,20092010,2
ACC1002X,LECTURE B2,28,22,1,1,1220,SCHOOL OF COMPUTING,Returning Students and New Students [P],2A,20092010,2
ACC1002X,LECTURE B2,27,5,1,1,301,SCHOOL OF BUSINESS,Returning Students and New Students [P],2A,20092010,2
ACC1002X,LECTURE B2,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and New Students [P],2A,20092010,2
ACC1002X,LECTURE B2,3,6,1,767,1003,SCHOOL OF BUSINESS,NUS Students [G],2A,20092010,2
ACC1002X,LECTURE B1,25,49,1,1597,3500,SCIENCE,Returning Students and New Students [P],2B,20092010,2
ACC1002X,LECTURE B1,3,5,1,816,3003,ENGINEERING,Returning Students and New Students [P],2B,20092010,2
ACC1002X,LECTURE B1,9,3,1,1,10,SCHOOL OF BUSINESS,Returning Students and New Students [P],2B,20092010,2
ACC1002X,LECTURE B2,25,48,51,1500,2519,SCIENCE,Returning Students and New Students [P],2B,20092010,2
ACC1002X,LECTURE B2,4,10,1,800,2001,ENGINEERING,Returning Students and New Students [P],2B,20092010,2
ACC1002X,LECTURE B2,7,11,706,1500,5235,SCHOOL OF COMPUTING,Returning Students and New Students [P],2B,20092010,2
ACC1002X,LECTURE B2,22,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P],2B,20092010,2
ACC1002X,LECTURE B2,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and New Students [P],2B,20092010,2
ACC1002X,LECTURE B1,8,30,1,2679,6184,SCHOOL OF BUSINESS,NUS Students [PG],2C,20092010,2
ACC1002X,LECTURE B2,24,56,1,1375,3777,SCHOOL OF BUSINESS,NUS Students [PG],2C,20092010,2
ACC1002X,LECTURE B1,1,9,124,4200,4200,SCHOOL OF BUSINESS,NUS Students [PG],3A,20092010,2
ACC1002X,LECTURE B1,2,15,124,2550,3227,SCHOOL OF BUSINESS,NUS Students [PG],3B,20092010,2
ACC1002X,LECTURE B2,2,9,53,4153,5317,SCHOOL OF BUSINESS,NUS Students [PG],3B,20092010,2
ACC1002X,LECTURE B1,20,16,1,1,1003,SCIENCE,Returning Students [P],1A,20102011,1
ACC1002X,LECTURE B1,130,89,1,1,4020,ENGINEERING,Returning Students [P],1A,20102011,1
ACC1002X,LECTURE B1,20,28,120,450,855,SCHOOL OF COMPUTING,Returning Students [P],1A,20102011,1
ACC1002X,LECTURE B1,27,9,1,1,400,SCHOOL OF BUSINESS,Returning Students [P],1A,20102011,1
ACC1002X,LECTURE B1,1,3,250,510,510,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P],1A,20102011,1
ACC1002X,LECTURE B2,20,13,1,1,302,SCIENCE,Returning Students [P],1A,20102011,1
ACC1002X,LECTURE B2,135,103,1,1,4555,ENGINEERING,Returning Students [P],1A,20102011,1
ACC1002X,LECTURE B2,25,10,10,1,106,SCHOOL OF COMPUTING,Returning Students [P],1A,20102011,1
ACC1002X,LECTURE B2,27,7,1,1,1000,SCHOOL OF BUSINESS,Returning Students [P],1A,20102011,1
ACC1002X,LECTURE B2,1,2,101,1000,1000,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P],1A,20102011,1
ACC1002X,LECTURE B1,4,1,2,1,2,SCIENCE,Returning Students [P],1B,20102011,1
ACC1002X,LECTURE B1,41,14,1,1,3000,ENGINEERING,Returning Students [P],1B,20102011,1
ACC1002X,LECTURE B1,18,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P],1B,20102011,1
ACC1002X,LECTURE B2,7,0,0,0,0,SCIENCE,Returning Students [P],1B,20102011,1
ACC1002X,LECTURE B2,32,17,1,1,3000,ENGINEERING,Returning Students [P],1B,20102011,1
ACC1002X,LECTURE B2,15,5,1,1,200,SCHOOL OF COMPUTING,Returning Students [P],1B,20102011,1
ACC1002X,LECTURE B2,20,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P],1B,20102011,1
ACC1002X,LECTURE B1,3,14,1,2948,3500,SCIENCE,Returning Students [P],1C,20102011,1
ACC1002X,LECTURE B1,29,13,1,1,2501,ENGINEERING,Returning Students [P],1C,20102011,1
ACC1002X,LECTURE B1,1,7,1,720,720,SCHOOL OF COMPUTING,Returning Students [P],1C,20102011,1
ACC1002X,LECTURE B1,18,1,3,1,3,SCHOOL OF BUSINESS,Returning Students [P],1C,20102011,1
ACC1002X,LECTURE B1,10,20,150,485,597,SCIENCE,New Students [P],1C,20102011,1
ACC1002X,LECTURE B1,35,49,2,253,748,ENGINEERING,New Students [P],1C,20102011,1
ACC1002X,LECTURE B1,20,33,150,350,1000,SCHOOL OF COMPUTING,New Students [P],1C,20102011,1
ACC1002X,LECTURE B1,9,13,1,50,599,SCHOOL OF BUSINESS,New Students [P],1C,20102011,1
ACC1002X,LECTURE B1,1,1,3,1,3,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P],1C,20102011,1
ACC1002X,LECTURE B1,2,5,542,800,1322,SCHOOL OF BUSINESS,NUS Students [G],1C,20102011,1
ACC1002X,LECTURE B2,7,22,1,2599,4000,SCIENCE,Returning Students [P],1C,20102011,1
ACC1002X,LECTURE B2,18,10,1,1,3500,ENGINEERING,Returning Students [P],1C,20102011,1
ACC1002X,LECTURE B2,10,14,11,409,1553,SCHOOL OF COMPUTING,Returning Students [P],1C,20102011,1
ACC1002X,LECTURE B2,20,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P],1C,20102011,1
ACC1002X,LECTURE B2,10,18,152,329,597,SCIENCE,New Students [P],1C,20102011,1
ACC1002X,LECTURE B2,40,25,1,1,746,ENGINEERING,New Students [P],1C,20102011,1
ACC1002X,LECTURE B2,20,25,5,111,645,SCHOOL OF COMPUTING,New Students [P],1C,20102011,1
ACC1002X,LECTURE B2,9,6,1,1,597,SCHOOL OF BUSINESS,New Students [P],1C,20102011,1
ACC1002X,LECTURE B2,1,2,1,746,746,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P],1C,20102011,1
ACC1002X,LECTURE B2,2,3,350,750,1000,SCHOOL OF BUSINESS,NUS Students [G],1C,20102011,1
ACC1002X,LECTURE B1,34,58,1,1369,4001,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2A,20102011,1
ACC1002X,LECTURE B2,31,54,1,1370,3167,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2A,20102011,1
ACC1002X,LECTURE B2,15,8,1,1,747,ENGINEERING,New Students [P],2A,20102011,1
ACC1002X,LECTURE B2,3,1,1,1,1,SCHOOL OF BUSINESS,New Students [P],2A,20102011,1
ACC1002X,LECTURE B1,5,22,10,1410,2923,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2B,20102011,1
ACC1002X,LECTURE B1,1,2,579,747,747,ENGINEERING,New Students [P],2B,20102011,1
ACC1002X,LECTURE B2,11,27,95,1291,2001,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2B,20102011,1
ACC1002X,LECTURE B2,11,6,197,1,747,ENGINEERING,New Students [P],2B,20102011,1
ACC1002X,LECTURE B2,3,3,1,1,297,SCHOOL OF BUSINESS,New Students [P],2B,20102011,1
ACC1002X,LECTURE B1,3,18,1,1941,2000,SCHOOL OF BUSINESS,NUS Students [PG],3A,20102011,1
ACC1002X,LECTURE B2,6,26,49,2001,5667,SCHOOL OF BUSINESS,NUS Students [PG],3A,20102011,1
ACC1002X,LECTURE B1,3,16,120,1857,2393,SCHOOL OF BUSINESS,NUS Students [PG],3B,20102011,1
ACC1002X,LECTURE B2,9,22,425,1290,4000,SCHOOL OF BUSINESS,NUS Students [PG],3B,20102011,1
ACC1002X,LECTURE B1,13,0,0,0,0,SCIENCE,Returning Students [P],1A,20102011,2
ACC1002X,LECTURE B1,152,65,1,1,4000,ENGINEERING,Returning Students [P],1A,20102011,2
ACC1002X,LECTURE B1,9,4,1,1,600,SCHOOL OF COMPUTING,Returning Students [P],1A,20102011,2
ACC1002X,LECTURE B1,18,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P],1A,20102011,2
ACC1002X,LECTURE B1,4,6,500,710,1101,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P],1A,20102011,2
ACC1002X,LECTURE B1,12,0,0,0,0,SCIENCE,New Students [P],1A,20102011,2
ACC1002X,LECTURE B1,38,69,5,788,1568,ENGINEERING,New Students [P],1A,20102011,2
ACC1002X,LECTURE B1,15,19,3,200,817,SCHOOL OF COMPUTING,New Students [P],1A,20102011,2
ACC1002X,LECTURE B1,6,6,25,1,350,SCHOOL OF BUSINESS,New Students [P],1A,20102011,2
ACC1002X,LECTURE B1,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P],1A,20102011,2
ACC1002X,LECTURE B2,12,0,0,0,0,SCIENCE,Returning Students [P],1A,20102011,2
ACC1002X,LECTURE B2,152,83,1,1,6405,ENGINEERING,Returning Students [P],1A,20102011,2
ACC1002X,LECTURE B2,11,3,1,1,99,SCHOOL OF COMPUTING,Returning Students [P],1A,20102011,2
ACC1002X,LECTURE B2,26,5,1,1,1000,SCHOOL OF BUSINESS,Returning Students [P],1A,20102011,2
ACC1002X,LECTURE B2,4,5,400,600,1500,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P],1A,20102011,2
ACC1002X,LECTURE B2,13,0,0,0,0,SCIENCE,New Students [P],1A,20102011,2
ACC1002X,LECTURE B2,38,55,102,700,1566,ENGINEERING,New Students [P],1A,20102011,2
ACC1002X,LECTURE B2,9,11,75,100,850,SCHOOL OF COMPUTING,New Students [P],1A,20102011,2
ACC1002X,LECTURE B2,8,8,2,1,500,SCHOOL OF BUSINESS,New Students [P],1A,20102011,2
ACC1002X,LECTURE B2,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P],1A,20102011,2
ACC1002X,LECTURE B1,13,0,0,0,0,SCIENCE,Returning Students [P],1B,20102011,2
